Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1990","1990","°C","2.061","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1991","1991","°C","-0.748","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1992","1992","°C","2.667","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1993","1993","°C","1.002","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1994","1994","°C","-1.36","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1995","1995","°C","2.803","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1996","1996","°C","-1.443","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1997","1997","°C","0.279","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1998","1998","°C","0.914","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1999","1999","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2000","2000","°C","1.353","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2001","2001","°C","3.601","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2002","2002","°C","2.534","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2003","2003","°C","2.824","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2004","2004","°C","-0.643","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2005","2005","°C","0.897","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2006","2006","°C","4.481","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2007","2007","°C","3.005","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2008","2008","°C","1.451","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2009","2009","°C","1.065","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2010","2010","°C","3.044","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2011","2011","°C","2.222","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2012","2012","°C","2.38","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2013","2013","°C","2.002","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2014","2014","°C","2.57","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2015","2015","°C","1.934","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2016","2016","°C","4.391","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2017","2017","°C","4.074","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2018","2018","°C","2.206","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2019","2019","°C","1.725","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2020","2020","°C","2.453","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2021","2021","°C","5.454","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2022","2022","°C","0.87","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2023","2023","°C","4.438","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2024","2024","°C","2.885","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","2025","2025","°C","3.913","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1961","1961","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1962","1962","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1963","1963","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1964","1964","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1965","1965","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1966","1966","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1967","1967","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1968","1968","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1969","1969","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1970","1970","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1971","1971","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1972","1972","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1973","1973","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1974","1974","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1975","1975","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1976","1976","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1977","1977","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1978","1978","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1979","1979","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1980","1980","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1981","1981","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1982","1982","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1983","1983","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1984","1984","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1985","1985","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1986","1986","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1987","1987","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1988","1988","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1989","1989","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1990","1990","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1991","1991","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1992","1992","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1993","1993","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1994","1994","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1995","1995","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1996","1996","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1997","1997","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1998","1998","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","1999","1999","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2000","2000","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2001","2001","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2002","2002","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2003","2003","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2004","2004","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2005","2005","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2006","2006","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2007","2007","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2008","2008","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2009","2009","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2010","2010","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2011","2011","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2012","2012","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2013","2013","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2014","2014","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2015","2015","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2016","2016","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2017","2017","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2018","2018","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2019","2019","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2020","2020","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2021","2021","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2022","2022","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2023","2023","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2024","2024","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7001","January","2025","2025","°C","1.297","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1961","1961","°C","0.605","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1962","1962","°C","-1.341","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1963","1963","°C","0.664","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1964","1964","°C","1.051","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1965","1965","°C","-2.075","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1966","1966","°C","0.243","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1967","1967","°C","-1.881","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1968","1968","°C","0.029","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1969","1969","°C","1.352","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1970","1970","°C","0.753","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1971","1971","°C","0.257","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1972","1972","°C","-2.801","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1973","1973","°C","-0.64","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1974","1974","°C","-0.797","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1975","1975","°C","-0.467","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1976","1976","°C","0.512","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1977","1977","°C","2.908","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1978","1978","°C","0.995","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1979","1979","°C","-5.2","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1980","1980","°C","1.637","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1981","1981","°C","3.201","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1982","1982","°C","-0.914","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1983","1983","°C","0.903","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1984","1984","°C","2.338","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1985","1985","°C","-1.493","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1986","1986","°C","1.523","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1987","1987","°C","2.415","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1988","1988","°C","0.261","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1989","1989","°C","-0.351","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1990","1990","°C","-1.768","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1991","1991","°C","2.607","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1992","1992","°C","0.936","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1993","1993","°C","-0.487","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1994","1994","°C","-2.43","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1995","1995","°C","0.598","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1996","1996","°C","1.549","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1997","1997","°C","1.47","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1998","1998","°C","3.862","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","1999","1999","°C","2.896","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2000","2000","°C","3.352","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2001","2001","°C","0.614","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2002","2002","°C","1.068","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2003","2003","°C","-0.601","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2004","2004","°C","1.696","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2005","2005","°C","2.298","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2006","2006","°C","2.335","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2007","2007","°C","0.136","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2008","2008","°C","-0.328","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2009","2009","°C","1.342","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2010","2010","°C","3.542","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2011","2011","°C","0.423","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2012","2012","°C","3.599","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2013","2013","°C","1.764","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2014","2014","°C","-0.652","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2015","2015","°C","-1.002","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2016","2016","°C","3.173","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2017","2017","°C","3.066","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2018","2018","°C","0.439","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2019","2019","°C","-0.725","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2020","2020","°C","1.19","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2021","2021","°C","-0.455","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2022","2022","°C","-0.368","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2023","2023","°C","0.076","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2024","2024","°C","4.067","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7002","February","2025","2025","°C","1.507","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1961","1961","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1962","1962","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1963","1963","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1964","1964","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1965","1965","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1966","1966","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1967","1967","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1968","1968","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1969","1969","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1970","1970","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1971","1971","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1972","1972","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1973","1973","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1974","1974","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1975","1975","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1976","1976","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1977","1977","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1978","1978","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1979","1979","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1980","1980","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1981","1981","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1982","1982","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1983","1983","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1984","1984","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1985","1985","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1986","1986","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1987","1987","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1988","1988","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1989","1989","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1990","1990","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1991","1991","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1992","1992","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1993","1993","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1994","1994","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1995","1995","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1996","1996","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1997","1997","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1998","1998","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","1999","1999","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2000","2000","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2001","2001","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2002","2002","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2003","2003","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2004","2004","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2005","2005","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2006","2006","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2007","2007","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2008","2008","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2009","2009","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2010","2010","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2011","2011","°C","1.68","E","Estimated value"
"ET","Temperature change on land","021","Northern America","6078","Standard Deviation","7002","February","2012","2012","°C","1.68","E","Estimated value"
